iter	Passed	Remaining
0	47	47680
1	48	24016
2	48	16134
3	48	12184
4	49	9815
5	49	8232
6	50	7105
7	50	6259
8	50	5601
9	51	5075
10	51	4646
11	52	4287
12	52	3985
13	52	3731
14	53	3506
15	53	3306
16	54	3128
17	54	2969
18	54	2833
19	55	2708
20	55	2591
21	55	2485
22	56	2390
23	56	2301
24	56	2222
25	57	2149
26	57	2083
27	58	2018
28	58	1958
29	58	1900
30	59	1847
31	59	1797
32	59	1750
33	60	1706
34	60	1664
35	60	1624
36	60	1586
37	61	1550
38	61	1516
39	61	1483
40	62	1452
41	62	1421
42	62	1393
43	62	1366
44	63	1340
45	63	1315
46	63	1291
47	63	1269
48	64	1246
49	64	1225
50	64	1205
51	65	1186
52	65	1167
53	65	1148
54	65	1130
55	66	1113
56	66	1096
57	66	1080
58	66	1064
59	67	1049
60	67	1036
61	67	1021
62	67	1007
63	67	994
64	68	982
65	68	970
66	69	961
67	69	949
68	69	939
69	69	928
70	70	918
71	70	907
72	70	897
73	70	888
74	71	878
75	71	868
76	71	859
77	71	850
78	72	841
79	72	833
80	72	824
81	72	816
82	73	808
83	73	800
84	73	792
85	73	785
86	74	779
87	74	771
88	74	764
89	74	757
90	75	750
91	75	744
92	75	738
93	75	731
94	76	725
95	76	719
96	76	712
97	76	705
98	76	700
99	77	694
100	78	695
101	78	691
102	79	688
103	79	685
104	79	681
105	80	678
106	80	675
107	81	672
108	81	668
109	82	665
110	82	662
111	83	659
112	83	656
113	84	654
114	84	651
115	84	647
116	86	649
117	86	645
118	86	641
119	86	636
120	87	632
121	87	628
122	87	624
123	87	620
124	88	616
125	88	612
126	88	608
127	88	604
128	89	601
129	89	597
130	89	593
131	89	590
132	90	586
133	90	583
134	90	579
135	90	576
136	90	572
137	91	569
138	91	566
139	91	563
140	91	559
141	92	556
142	92	553
143	92	550
144	92	547
145	93	544
146	93	541
147	93	538
148	93	535
149	93	532
150	94	528
151	94	526
152	94	523
153	94	520
154	94	517
155	95	515
156	95	512
157	95	509
158	95	507
159	96	504
160	96	502
161	96	499
162	96	497
163	97	494
164	97	492
165	97	489
166	97	487
167	98	485
168	98	483
169	98	480
170	98	478
171	98	476
172	99	474
173	99	472
174	99	470
175	100	469
176	100	467
177	100	464
178	101	463
179	101	461
180	101	459
181	101	457
182	101	455
183	102	453
184	102	451
185	102	449
186	102	447
187	103	445
188	103	443
189	103	441
190	103	439
191	104	437
192	104	436
193	104	434
194	104	432
195	104	430
196	105	428
197	105	427
198	105	425
199	105	423
200	106	421
201	106	420
202	106	418
203	106	416
204	107	415
205	107	413
206	107	411
207	107	410
208	108	408
209	108	407
210	108	405
211	108	403
212	108	402
213	109	400
214	109	399
215	109	397
216	109	396
217	110	394
218	110	393
219	110	391
220	110	390
221	110	388
222	111	387
223	111	386
224	111	384
225	111	383
226	112	381
227	112	380
228	112	379
229	112	377
230	113	376
231	113	375
232	113	373
233	113	372
234	114	371
235	114	369
236	114	368
237	114	367
238	114	366
239	115	365
240	115	363
241	115	362
242	116	361
243	116	360
244	116	359
245	116	358
246	117	357
247	117	356
248	117	355
249	118	354
250	118	352
251	118	352
252	119	351
253	119	351
254	119	350
255	120	349
256	120	349
257	121	349
258	121	348
259	122	348
260	122	347
261	123	347
262	123	346
263	124	345
264	124	345
265	124	344
266	125	344
267	125	343
268	126	343
269	126	342
270	127	342
271	127	341
272	128	340
273	128	340
274	128	339
275	129	339
276	129	339
277	130	338
278	130	337
279	131	338
280	132	337
281	132	337
282	133	337
283	133	336
284	134	336
285	134	335
286	134	335
287	135	334
288	135	333
289	136	333
290	136	332
291	137	332
292	137	331
293	137	331
294	138	330
295	138	330
296	139	329
297	139	329
298	140	328
299	140	327
300	140	327
301	141	326
302	141	326
303	142	325
304	142	325
305	143	324
306	143	324
307	144	323
308	144	323
309	144	322
310	145	322
311	145	321
312	146	321
313	147	321
314	147	321
315	148	321
316	148	320
317	149	320
318	149	319
319	150	319
320	150	318
321	151	318
322	151	317
323	151	317
324	152	316
325	152	315
326	153	315
327	153	314
328	154	314
329	154	313
330	154	313
331	155	312
332	155	312
333	156	311
334	156	311
335	157	310
336	157	310
337	158	309
338	158	309
339	158	308
340	159	307
341	159	307
342	160	306
343	160	306
344	161	306
345	161	305
346	162	306
347	163	306
348	164	306
349	164	305
350	164	305
351	165	304
352	165	304
353	166	303
354	166	302
355	167	302
356	167	301
357	168	301
358	168	300
359	168	300
360	169	299
361	169	299
362	170	298
363	170	298
364	171	297
365	171	297
366	172	296
367	172	296
368	172	295
369	173	294
370	173	294
371	174	293
372	174	293
373	175	292
374	175	292
375	175	291
376	176	291
377	176	290
378	177	290
379	177	290
380	178	289
381	179	289
382	179	289
383	180	289
384	180	288
385	181	287
386	181	287
387	181	286
388	182	286
389	182	285
390	183	285
391	183	284
392	184	284
393	184	283
394	185	283
395	185	282
396	185	282
397	186	281
398	186	281
399	187	280
400	187	280
401	188	279
402	188	279
403	188	278
404	189	278
405	189	277
406	190	277
407	190	276
408	190	275
409	191	275
410	191	274
411	192	274
412	192	274
413	193	273
414	193	273
415	194	272
416	195	272
417	195	272
418	196	272
419	196	271
420	197	271
421	197	270
422	197	270
423	198	269
424	198	268
425	199	268
426	199	268
427	200	267
428	200	267
429	201	266
430	201	265
431	201	265
432	202	264
433	202	264
434	203	263
435	203	263
436	204	262
437	204	262
438	204	261
439	205	261
440	205	260
441	206	260
442	206	259
443	207	259
444	207	258
445	207	258
446	208	257
447	208	257
448	209	256
449	209	256
450	210	256
451	210	255
452	211	255
453	211	254
454	212	254
455	212	253
456	213	253
457	213	253
458	214	252
459	214	251
460	215	251
461	215	251
462	215	250
463	216	249
464	216	249
465	217	248
466	217	248
467	218	247
468	218	247
469	218	246
470	219	246
471	219	245
472	220	245
473	220	244
474	221	244
475	221	243
476	222	243
477	222	243
478	222	242
479	223	242
480	223	241
481	224	241
482	224	240
483	225	240
484	226	240
485	226	239
486	227	239
487	227	239
488	228	238
489	228	238
490	229	237
491	229	237
492	230	236
493	230	236
494	230	235
495	231	235
496	231	234
497	232	234
498	232	233
499	233	233
500	233	232
501	234	232
502	234	231
503	234	231
504	235	230
505	235	230
506	236	229
507	236	229
508	237	228
509	237	228
510	237	227
511	238	227
512	238	226
513	239	226
514	239	226
515	240	225
516	241	225
517	242	225
518	243	225
519	243	224
520	244	224
521	244	223
522	244	223
523	245	222
524	245	222
525	246	221
526	246	221
527	247	220
528	247	220
529	248	219
530	248	219
531	248	218
532	249	218
533	249	218
534	250	217
535	250	217
536	251	216
537	251	216
538	252	215
539	252	215
540	252	214
541	253	214
542	253	213
543	254	213
544	254	212
545	255	212
546	255	211
547	256	211
548	256	210
549	257	210
550	258	210
551	258	210
552	259	209
553	259	209
554	260	208
555	260	208
556	261	207
557	261	207
558	261	206
559	262	206
560	262	205
561	263	205
562	263	204
563	264	204
564	264	203
565	265	203
566	265	202
567	265	202
568	266	201
569	266	201
570	267	200
571	267	200
572	268	199
573	268	199
574	269	198
575	269	198
576	269	197
577	270	197
578	270	196
579	271	196
580	271	196
581	272	195
582	273	195
583	273	194
584	274	194
585	275	194
586	275	193
587	275	193
588	276	193
589	277	192
590	277	192
591	278	191
592	278	191
593	278	190
594	279	190
595	279	189
596	280	189
597	280	188
598	281	188
599	281	187
600	282	187
601	282	186
602	282	186
603	283	185
604	283	185
605	284	184
606	284	184
607	285	183
608	285	183
609	286	182
610	286	182
611	286	181
612	287	181
613	287	181
614	288	180
615	289	180
616	289	179
617	290	179
618	290	178
619	291	178
620	291	177
621	292	177
622	292	176
623	292	176
624	293	175
625	293	175
626	294	175
627	294	174
628	295	174
629	295	173
630	296	173
631	296	172
632	296	172
633	297	171
634	297	171
635	298	170
636	298	170
637	299	169
638	299	169
639	300	168
640	300	168
641	300	167
642	301	167
643	301	166
644	302	166
645	302	165
646	303	165
647	303	165
648	304	164
649	304	164
650	305	163
651	306	163
652	306	163
653	307	162
654	307	162
655	308	161
656	308	161
657	308	160
658	309	160
659	309	159
660	310	159
661	310	158
662	311	158
663	311	157
664	312	157
665	312	156
666	312	156
667	313	155
668	313	155
669	314	154
670	315	154
671	315	153
672	316	153
673	316	153
674	317	152
675	317	152
676	318	151
677	318	151
678	318	150
679	319	150
680	319	149
681	320	149
682	321	149
683	322	148
684	322	148
685	322	147
686	323	147
687	323	146
688	324	146
689	324	145
690	325	145
691	325	144
692	325	144
693	326	143
694	326	143
695	327	142
696	327	142
697	328	141
698	328	141
699	329	141
700	329	140
701	329	140
702	330	139
703	330	139
704	331	138
705	331	138
706	332	137
707	332	137
708	333	136
709	333	136
710	334	135
711	334	135
712	335	134
713	335	134
714	335	133
715	335	133
716	336	132
717	336	132
718	336	131
719	336	131
720	337	130
721	337	129
722	337	129
723	337	128
724	338	128
725	338	127
726	338	127
727	338	126
728	339	126
729	339	125
730	339	124
731	339	124
732	340	123
733	340	123
734	340	122
735	340	122
736	340	121
737	341	121
738	341	120
739	341	120
740	341	119
741	342	118
742	342	118
743	342	117
744	342	117
745	343	116
746	343	116
747	343	115
748	343	115
749	343	114
750	344	114
751	344	113
752	344	113
753	344	112
754	345	111
755	345	111
756	345	110
757	345	110
758	345	109
759	346	109
760	346	108
761	346	108
762	346	107
763	347	107
764	347	106
765	347	106
766	347	105
767	348	105
768	348	104
769	348	104
770	348	103
771	349	103
772	349	102
773	349	102
774	349	101
775	350	101
776	350	100
777	350	100
778	350	99
779	351	99
780	351	98
781	351	98
782	352	97
783	352	97
784	352	96
785	353	96
786	354	95
787	354	95
788	354	94
789	354	94
790	355	93
791	355	93
792	355	92
793	355	92
794	356	91
795	356	91
796	356	90
797	356	90
798	357	89
799	357	89
800	357	88
801	357	88
802	358	87
803	358	87
804	358	86
805	358	86
806	359	85
807	359	85
808	359	84
809	359	84
810	359	83
811	360	83
812	360	82
813	360	82
814	360	81
815	361	81
816	361	80
817	361	80
818	361	79
819	362	79
820	362	78
821	362	78
822	362	78
823	363	77
824	363	77
825	363	76
826	363	76
827	363	75
828	364	75
829	364	74
830	364	74
831	365	73
832	365	73
833	365	72
834	365	72
835	366	71
836	366	71
837	366	70
838	367	70
839	367	69
840	367	69
841	367	69
842	368	68
843	368	68
844	368	67
845	368	67
846	369	66
847	369	66
848	369	65
849	369	65
850	370	64
851	370	64
852	370	63
853	370	63
854	371	62
855	371	62
856	371	62
857	371	61
858	372	61
859	372	60
860	372	60
861	372	59
862	372	59
863	373	58
864	373	58
865	373	57
866	373	57
867	374	56
868	374	56
869	374	55
870	374	55
871	375	55
872	375	54
873	375	54
874	375	53
875	376	53
876	376	52
877	376	52
878	376	51
879	376	51
880	377	50
881	377	50
882	377	50
883	377	49
884	378	49
885	378	48
886	378	48
887	378	47
888	379	47
889	379	46
890	379	46
891	379	45
892	380	45
893	380	45
894	380	44
895	380	44
896	380	43
897	381	43
898	381	42
899	381	42
900	382	41
901	382	41
902	382	41
903	382	40
904	383	40
905	383	39
906	383	39
907	383	38
908	384	38
909	384	38
910	384	37
911	384	37
912	385	36
913	385	36
914	385	35
915	385	35
916	386	34
917	386	34
918	386	34
919	386	33
920	387	33
921	387	32
922	387	32
923	387	31
924	388	31
925	388	31
926	388	30
927	388	30
928	388	29
929	389	29
930	389	28
931	389	28
932	389	27
933	390	27
934	390	27
935	390	26
936	390	26
937	391	25
938	391	25
939	391	25
940	391	24
941	392	24
942	392	23
943	392	23
944	392	22
945	393	22
946	393	22
947	393	21
948	393	21
949	394	20
950	394	20
951	394	19
952	394	19
953	395	19
954	395	18
955	395	18
956	395	17
957	396	17
958	396	16
959	396	16
960	396	16
961	397	15
962	397	15
963	397	14
964	398	14
965	398	14
966	398	13
967	398	13
968	399	12
969	399	12
970	399	11
971	399	11
972	400	11
973	400	10
974	400	10
975	400	9
976	401	9
977	401	9
978	401	8
979	401	8
980	402	7
981	402	7
982	402	6
983	402	6
984	403	6
985	403	5
986	403	5
987	403	4
988	404	4
989	404	4
990	404	3
991	404	3
992	405	2
993	405	2
994	405	2
995	405	1
996	406	1
997	406	0
998	406	0
999	406	0
