iter	Passed	Remaining
0	49	49331
1	49	24897
2	50	16748
3	50	12670
4	51	10226
5	51	8594
6	55	7904
7	56	6950
8	56	6207
9	56	5614
10	59	5345
11	59	4924
12	60	4567
13	60	4260
14	60	3994
15	61	3760
16	61	3555
17	71	3884
18	74	3844
19	74	3665
20	75	3502
21	75	3354
22	75	3219
23	76	3095
24	76	2981
25	80	3034
26	81	2930
27	81	2834
28	81	2744
29	82	2661
30	82	2582
31	82	2509
32	91	2670
33	91	2599
34	91	2531
35	92	2467
36	92	2406
37	92	2349
38	93	2294
39	93	2243
40	93	2193
41	100	2284
42	100	2236
43	100	2190
44	101	2146
45	101	2103
46	101	2063
47	102	2024
48	102	1987
49	109	2071
50	109	2035
51	111	2038
52	112	2016
53	115	2022
54	115	1987
55	116	1955
56	116	1926
57	116	1895
58	116	1864
59	117	1835
60	117	1808
61	117	1780
62	117	1754
63	118	1728
64	118	1703
65	118	1679
66	118	1656
67	119	1633
68	121	1634
69	121	1613
70	121	1592
71	121	1572
72	122	1556
73	122	1537
74	123	1519
75	123	1501
76	123	1483
77	124	1466
78	124	1449
79	124	1433
80	124	1417
81	125	1400
82	125	1383
83	125	1368
84	125	1353
85	125	1338
86	126	1324
87	126	1310
88	126	1296
89	126	1283
90	127	1270
91	127	1257
92	127	1244
93	127	1232
94	128	1220
95	128	1208
96	128	1196
97	128	1185
98	129	1174
99	129	1163
100	129	1152
101	129	1142
102	129	1131
103	130	1121
104	130	1111
105	130	1102
106	130	1092
107	131	1083
108	131	1073
109	131	1064
110	131	1056
111	132	1047
112	132	1038
113	132	1030
114	132	1021
115	133	1013
116	133	1005
117	133	997
118	133	989
119	133	982
120	134	974
121	134	966
122	134	959
123	134	952
124	135	945
125	135	938
126	135	931
127	135	924
128	135	918
129	136	911
130	136	905
131	136	898
132	136	892
133	137	886
134	137	880
135	137	874
136	137	868
137	138	862
138	138	857
139	138	851
140	138	845
141	138	839
142	139	834
143	139	829
144	139	823
145	139	818
146	140	813
147	140	808
148	140	803
149	140	798
150	141	793
151	141	788
152	141	783
153	141	778
154	142	774
155	142	769
156	142	765
157	142	760
158	142	756
159	143	751
160	143	747
161	143	742
162	143	738
163	144	734
164	144	730
165	144	726
166	144	722
167	145	718
168	145	714
169	145	710
170	145	706
171	146	702
172	146	699
173	146	695
174	146	691
175	146	688
176	147	684
177	147	680
178	147	677
179	147	673
180	148	670
181	148	667
182	148	663
183	148	660
184	149	657
185	149	653
186	149	650
187	149	647
188	150	643
189	150	640
190	150	637
191	150	634
192	150	631
193	151	628
194	151	625
195	151	622
196	151	619
197	152	616
198	152	613
199	152	610
200	152	607
201	153	605
202	153	602
203	153	599
204	153	596
205	154	594
206	154	591
207	154	588
208	154	586
209	155	583
210	155	580
211	155	578
212	155	575
213	156	573
214	156	570
215	156	568
216	156	565
217	157	563
218	157	560
219	157	558
220	157	556
221	157	553
222	158	551
223	158	548
224	158	546
225	158	544
226	159	541
227	159	539
228	159	537
229	159	535
230	160	532
231	160	530
232	160	528
233	160	526
234	161	524
235	161	522
236	161	520
237	161	517
238	161	515
239	162	513
240	162	511
241	162	509
242	162	507
243	163	505
244	163	503
245	163	501
246	163	499
247	164	497
248	164	495
249	164	493
250	164	491
251	165	490
252	165	488
253	165	486
254	165	484
255	166	482
256	166	480
257	166	479
258	166	477
259	167	475
260	167	473
261	167	471
262	167	470
263	168	468
264	168	466
265	168	465
266	168	463
267	169	461
268	169	459
269	169	458
270	169	456
271	169	454
272	170	453
273	170	451
274	170	450
275	170	448
276	171	446
277	171	445
278	171	443
279	171	441
280	172	440
281	172	439
282	172	437
283	172	436
284	173	434
285	173	433
286	173	431
287	173	429
288	174	428
289	174	426
290	174	425
291	174	424
292	175	422
293	175	421
294	175	419
295	175	418
296	176	416
297	176	415
298	176	414
299	176	412
300	177	411
301	177	409
302	177	408
303	177	407
304	178	405
305	178	404
306	178	403
307	178	401
308	179	400
309	179	398
310	179	397
311	179	396
312	179	395
313	180	393
314	180	392
315	180	391
316	180	389
317	181	388
318	181	387
319	181	385
320	181	384
321	182	383
322	182	382
323	182	381
324	182	379
325	183	378
326	183	377
327	183	376
328	183	374
329	184	373
330	184	372
331	184	371
332	184	370
333	185	368
334	185	367
335	185	366
336	185	365
337	185	364
338	186	363
339	186	361
340	186	360
341	186	359
342	187	358
343	187	357
344	187	356
345	187	354
346	188	353
347	188	352
348	188	351
349	188	350
350	188	349
351	189	348
352	189	347
353	189	346
354	189	344
355	190	343
356	190	342
357	190	341
358	190	340
359	191	339
360	191	338
361	191	337
362	191	336
363	192	335
364	192	334
365	192	333
366	192	332
367	193	331
368	193	330
369	193	329
370	193	328
371	194	327
372	194	326
373	194	325
374	194	324
375	194	323
376	195	322
377	195	321
378	195	320
379	195	319
380	196	318
381	196	317
382	196	316
383	196	315
384	197	314
385	197	313
386	197	312
387	197	312
388	198	311
389	198	310
390	198	309
391	198	308
392	198	307
393	199	306
394	199	305
395	199	304
396	199	303
397	200	302
398	200	301
399	200	300
400	200	299
401	201	299
402	201	298
403	201	297
404	201	296
405	201	295
406	202	294
407	202	293
408	202	292
409	202	291
410	203	291
411	203	290
412	203	289
413	203	288
414	204	287
415	204	286
416	204	285
417	204	285
418	205	284
419	205	283
420	205	282
421	205	281
422	205	280
423	206	280
424	206	279
425	206	278
426	206	277
427	207	276
428	207	275
429	207	275
430	207	274
431	208	273
432	208	272
433	208	271
434	208	271
435	208	270
436	209	269
437	209	268
438	209	267
439	209	267
440	210	266
441	210	265
442	210	264
443	210	264
444	211	263
445	211	262
446	211	261
447	211	260
448	212	260
